# %ECSV 1.0
# ---
# datatype:
# - {name: line_center, datatype: float64}
# - {name: line_type, datatype: string}
# - {name: line_center_index, datatype: int64}
# schema: astropy-2.0
line_center line_type line_center_index
81592.02475118893 emission 196
81613.90496750327 emission 252
81629.14297529371 emission 291
81636.56662011478 emission 310
81702.20726905811 emission 476
81710.80306832465 emission 498
81740.88836575695 emission 575
81788.55597987061 emission 697
81798.71465173092 emission 723
81828.7999491635 emission 800
81930.77738591473 emission 1061
81971.41207335591 emission 1165
81983.13361781025 emission 1195
82007.35814301552 emission 1257
82090.19039049163 emission 1469
82106.20983457894 emission 1510
82127.69933274499 emission 1565
82229.28605134794 emission 1825
82270.3114569377 emission 1930
82401.98347297293 emission 2267
82425.81728002962 emission 2328
82471.53130340095 emission 2445
82526.62256233569 emission 2586
82593.43536572448 emission 2757
82834.11774518373 emission 3373
82972.82268789144 emission 3728
82994.70290420609 emission 3784
83066.98576167332 emission 3969
83124.81204764728 emission 4117
83388.93751601492 emission 4793
83581.17084506364 emission 5285
83606.17680656578 emission 5349
83685.88330885409 emission 5553
83698.77700775389 emission 5586
83794.89367227809 emission 5832
84222.33932670733 emission 6926
84350.10416125788 emission 7253
84393.08315758969 emission 7363
84858.42847242084 emission 8554
84913.91044950396 emission 8696
84948.68436471802 emission 8785
85149.90421118148 emission 9300
85281.18550906831 emission 9636
85344.87256726937 emission 9799
85521.08645223055 emission 10250
85687.5323834799 emission 10676
85715.66409016996 emission 10748
85827.40948063317 emission 11034
86451.77708189255 emission 11893
86482.25309747343 emission 11971
86588.91915200648 emission 12244
86683.47294393688 emission 12486
86989.40525419102 emission 13269
87126.54732430493 emission 13620
87228.91547920478 emission 13882
87288.30463777264 emission 14034
87335.19081558936 emission 14154
87613.77285545041 emission 14867
87795.8475126387 emission 15333
88271.74221747846 emission 16551
88404.97710610766 emission 16892
88438.9695850248 emission 16979
88571.423037357 emission 17318
88633.15650481572 emission 17476
88810.54254422235 emission 17930
88979.33278436253 emission 18362
88999.65012808313 emission 18414
89100.4554103891 emission 18672
89107.87905521007 emission 18691
89161.7981596993 emission 18829
89197.35351121033 emission 18920
89232.1274264244 emission 19009
89354.42220689637 emission 19322
89622.8455748971 emission 20009
89641.99076417225 emission 20058
89714.66433978819 emission 20244
89760.76908130798 emission 20362
81516.22543038531 absorption 2
81531.85415632404 absorption 42
81570.92597117147 absorption 142
81602.57414119781 absorption 223
81614.68640380044 absorption 254
81634.22231122386 absorption 304
81716.66384055167 absorption 513
81907.33429700634 absorption 1001
81937.02887629034 absorption 1077
82008.53029746098 absorption 1260
82019.47040561815 absorption 1288
82060.49581120763 absorption 1393
82241.78903209916 absorption 1857
82287.89377361878 absorption 1975
82406.2813726062 absorption 2278
82521.54322640553 absorption 2573
82744.64328918341 absorption 3144
82864.20304261602 absorption 3450
82936.48590008354 absorption 3635
83830.44902378913 absorption 5923
84420.43342798292 absorption 7433
84679.08884227186 absorption 8095
84818.18450312814 absorption 8451
84990.49120660461 absorption 8892
85118.64675930365 absorption 9220
85302.28428908583 absorption 9690
85421.45332437001 absorption 9995
85659.79139493838 absorption 10605
85843.03820657208 absorption 11074
86416.22173038154 absorption 11802
87290.64894666348 absorption 14040
87773.96729632423 absorption 15277
88549.93353919101 absorption 17263
88599.55474404705 absorption 17390
88689.41991819578 absorption 17620
89379.4281683986 absorption 19386
89652.93087232953 absorption 20086
89733.80952906336 absorption 20293
